2017-03-02T18:47:44 Extracting   0% auto.cnf
2017-03-02T18:47:45 Extracting   0% ibdata1
2017-03-02T18:47:45 Extracting   1% ib_buffer_pool
2017-03-02T18:47:46 Extracting   1% ib_logfile0
2017-03-02T18:47:47 Extracting   1% ib_logfile1
2017-03-02T18:47:47 Extracting   2% localdb/
2017-03-02T18:47:47 Extracting   2% localdb/db.opt
2017-03-02T18:47:47 Extracting   2% mysql/
2017-03-02T18:47:47 Extracting   3% MYSQLCONNSTR_localdb.ini
2017-03-02T18:47:47 Extracting   3% mysql/columns_priv.frm
2017-03-02T18:47:47 Extracting   3% mysql/columns_priv.MYD
2017-03-02T18:47:47 Extracting   4% mysql/columns_priv.MYI
2017-03-02T18:47:47 Extracting   4% mysql/db.frm
2017-03-02T18:47:47 Extracting   5% mysql/db.MYD
2017-03-02T18:47:47 Extracting   5% mysql/db.MYI
2017-03-02T18:47:47 Extracting   5% mysql/db.opt
2017-03-02T18:47:47 Extracting   6% mysql/engine_cost.frm
2017-03-02T18:47:47 Extracting   6% mysql/engine_cost.ibd
2017-03-02T18:47:47 Extracting   6% mysql/event.frm
2017-03-02T18:47:47 Extracting   7% mysql/event.MYD
2017-03-02T18:47:47 Extracting   7% mysql/event.MYI
2017-03-02T18:47:47 Extracting   7% mysql/func.frm
2017-03-02T18:47:47 Extracting   8% mysql/func.MYD
2017-03-02T18:47:47 Extracting   8% mysql/func.MYI
2017-03-02T18:47:47 Extracting   8% mysql/general_log.CSM
2017-03-02T18:47:47 Extracting   9% mysql/general_log.CSV
2017-03-02T18:47:47 Extracting   9% mysql/general_log.frm
2017-03-02T18:47:47 Extracting  10% mysql/gtid_executed.frm
2017-03-02T18:47:47 Extracting  10% mysql/gtid_executed.ibd
2017-03-02T18:47:47 Extracting  10% mysql/help_category.frm
2017-03-02T18:47:47 Extracting  11% mysql/help_category.ibd
2017-03-02T18:47:47 Extracting  11% mysql/help_keyword.frm
2017-03-02T18:47:47 Extracting  11% mysql/help_keyword.ibd
2017-03-02T18:47:47 Extracting  12% mysql/help_relation.frm
2017-03-02T18:47:47 Extracting  12% mysql/help_relation.ibd
2017-03-02T18:47:47 Extracting  12% mysql/help_topic.frm
2017-03-02T18:47:47 Extracting  13% mysql/help_topic.ibd
2017-03-02T18:47:48 Extracting  13% mysql/innodb_index_stats.frm
2017-03-02T18:47:48 Extracting  13% mysql/innodb_index_stats.ibd
2017-03-02T18:47:48 Extracting  14% mysql/innodb_table_stats.frm
2017-03-02T18:47:48 Extracting  14% mysql/innodb_table_stats.ibd
2017-03-02T18:47:48 Extracting  15% mysql/ndb_binlog_index.frm
2017-03-02T18:47:48 Extracting  15% mysql/ndb_binlog_index.MYD
2017-03-02T18:47:48 Extracting  15% mysql/ndb_binlog_index.MYI
2017-03-02T18:47:48 Extracting  16% mysql/plugin.frm
2017-03-02T18:47:48 Extracting  16% mysql/plugin.ibd
2017-03-02T18:47:48 Extracting  16% mysql/proc.frm
2017-03-02T18:47:48 Extracting  17% mysql/proc.MYD
2017-03-02T18:47:48 Extracting  17% mysql/proc.MYI
2017-03-02T18:47:48 Extracting  17% mysql/procs_priv.frm
2017-03-02T18:47:48 Extracting  18% mysql/procs_priv.MYD
2017-03-02T18:47:48 Extracting  18% mysql/procs_priv.MYI
2017-03-02T18:47:48 Extracting  18% mysql/proxies_priv.frm
2017-03-02T18:47:48 Extracting  19% mysql/proxies_priv.MYD
2017-03-02T18:47:48 Extracting  19% mysql/proxies_priv.MYI
2017-03-02T18:47:48 Extracting  20% mysql/servers.frm
2017-03-02T18:47:48 Extracting  20% mysql/servers.ibd
2017-03-02T18:47:48 Extracting  20% mysql/server_cost.frm
2017-03-02T18:47:48 Extracting  21% mysql/server_cost.ibd
2017-03-02T18:47:48 Extracting  21% mysql/slave_master_info.frm
2017-03-02T18:47:48 Extracting  21% mysql/slave_master_info.ibd
2017-03-02T18:47:48 Extracting  22% mysql/slave_relay_log_info.frm
2017-03-02T18:47:48 Extracting  22% mysql/slave_relay_log_info.ibd
2017-03-02T18:47:48 Extracting  22% mysql/slave_worker_info.frm
2017-03-02T18:47:48 Extracting  23% mysql/slave_worker_info.ibd
2017-03-02T18:47:48 Extracting  23% mysql/slow_log.CSM
2017-03-02T18:47:48 Extracting  23% mysql/slow_log.CSV
2017-03-02T18:47:48 Extracting  24% mysql/slow_log.frm
2017-03-02T18:47:48 Extracting  24% mysql/tables_priv.frm
2017-03-02T18:47:48 Extracting  25% mysql/tables_priv.MYD
2017-03-02T18:47:48 Extracting  25% mysql/tables_priv.MYI
2017-03-02T18:47:48 Extracting  25% mysql/time_zone.frm
2017-03-02T18:47:48 Extracting  26% mysql/time_zone.ibd
2017-03-02T18:47:48 Extracting  26% mysql/time_zone_leap_second.frm
2017-03-02T18:47:48 Extracting  26% mysql/time_zone_leap_second.ibd
2017-03-02T18:47:49 Extracting  27% mysql/time_zone_name.frm
2017-03-02T18:47:49 Extracting  27% mysql/time_zone_name.ibd
2017-03-02T18:47:49 Extracting  27% mysql/time_zone_transition.frm
2017-03-02T18:47:49 Extracting  28% mysql/time_zone_transition.ibd
2017-03-02T18:47:49 Extracting  28% mysql/time_zone_transition_type.frm
2017-03-02T18:47:49 Extracting  28% mysql/time_zone_transition_type.ibd
2017-03-02T18:47:49 Extracting  29% mysql/user.frm
2017-03-02T18:47:49 Extracting  29% mysql/user.MYD
2017-03-02T18:47:49 Extracting  30% mysql/user.MYI
2017-03-02T18:47:49 Extracting  30% performance_schema/
2017-03-02T18:47:49 Extracting  30% performance_schema/accounts.frm
2017-03-02T18:47:49 Extracting  31% performance_schema/cond_instances.frm
2017-03-02T18:47:49 Extracting  31% performance_schema/db.opt
2017-03-02T18:47:49 Extracting  31% performance_schema/events_stages_current.frm
2017-03-02T18:47:49 Extracting  32% performance_schema/events_stages_history.frm
2017-03-02T18:47:49 Extracting  32% performance_schema/events_stages_history_long.frm
2017-03-02T18:47:49 Extracting  32% performance_schema/events_stages_summary_by_account_by_event_name.frm
2017-03-02T18:47:49 Extracting  33% performance_schema/events_stages_summary_by_host_by_event_name.frm
2017-03-02T18:47:49 Extracting  33% performance_schema/events_stages_summary_by_thread_by_event_name.frm
2017-03-02T18:47:49 Extracting  33% performance_schema/events_stages_summary_by_user_by_event_name.frm
2017-03-02T18:47:49 Extracting  34% performance_schema/events_stages_summary_global_by_event_name.frm
2017-03-02T18:47:49 Extracting  34% performance_schema/events_statements_current.frm
2017-03-02T18:47:49 Extracting  35% performance_schema/events_statements_history.frm
2017-03-02T18:47:49 Extracting  35% performance_schema/events_statements_history_long.frm
2017-03-02T18:47:49 Extracting  35% performance_schema/events_statements_summary_by_account_by_event_name.frm
